NAME,ASIAN/PI,category,pop_est,new_category
Kansas,91566,HISPANIC.WHITE,312397,NA
Kansas,91566,NH.BLACK,167341,BLACK
Kansas,91566,HISPANIC.BLACK,11277,NA
Kansas,91566,NH.AI/AN,23119,AI/AN
Kansas,91566,HISPANIC.AI/AN,11698,NA
Kansas,91566,NH.ASIAN,88851,ASIAN
Kansas,91566,HISPANIC.ASIAN,2378,NA
Kansas,91566,NH.NH/PI,2715,NH/PI
Kansas,91566,HISPANIC.NH/PI,904,NA
Kansas,91566,NH.MULTI,75345,MULTI
Kansas,91566,HISPANIC.MULTI,12526,NA
Kansas,91566,ETH_NH,2560325,NH
Kansas,91566,ETH_HISPANIC,351180,HISPANIC
Kansas,91566,MALE,1450406,MALE
Kansas,91566,FEMALE,1461099,FEMALE
Kansas,91566,AI/AN/NH/PI,25834,AI/AN/NH/PI
Kentucky,73862,TOTAL_POP,4468402,TOTAL_POP
Kentucky,73862,NH.WHITE,3766333,NH WHITE
Kentucky,73862,HISPANIC.WHITE,147603,NA
Kentucky,73862,NH.BLACK,365332,BLACK
Kentucky,73862,HISPANIC.BLACK,10640,NA
Kentucky,73862,NH.AI/AN,9421,AI/AN
Kentucky,73862,HISPANIC.AI/AN,3991,NA
Kentucky,73862,NH.ASIAN,71014,ASIAN
Kentucky,73862,HISPANIC.ASIAN,1792,NA
Kentucky,73862,NH.NH/PI,2848,NH/PI
Kentucky,73862,HISPANIC.NH/PI,1210,NA
Kentucky,73862,NH.MULTI,81521,MULTI
Kentucky,73862,HISPANIC.MULTI,6697,NA
Kentucky,73862,ETH_NH,4296469,NH
Kentucky,73862,ETH_HISPANIC,171933,HISPANIC
Kentucky,73862,MALE,2201511,MALE
Kentucky,73862,FEMALE,2266891,FEMALE
Kentucky,73862,AI/AN/NH/PI,12269,AI/AN/NH/PI
Louisiana,83452,TOTAL_POP,4659978,TOTAL_POP
Louisiana,83452,NH.WHITE,2729264,NH WHITE
Louisiana,83452,HISPANIC.WHITE,201168,NA
Louisiana,83452,NH.BLACK,1503104,BLACK
Louisiana,83452,HISPANIC.BLACK,22986,NA
Louisiana,83452,NH.AI/AN,30109,AI/AN
Louisiana,83452,HISPANIC.AI/AN,6391,NA
Louisiana,83452,NH.ASIAN,81667,ASIAN
Louisiana,83452,HISPANIC.ASIAN,2604,NA
Louisiana,83452,NH.NH/PI,1785,NH/PI
Louisiana,83452,HISPANIC.NH/PI,1104,NA
Louisiana,83452,NH.MULTI,70238,MULTI
Louisiana,83452,HISPANIC.MULTI,9558,NA
Louisiana,83452,ETH_NH,4416167,NH
Louisiana,83452,ETH_HISPANIC,243811,HISPANIC
Louisiana,83452,MALE,2274759,MALE
Louisiana,83452,FEMALE,2385219,FEMALE
Louisiana,83452,AI/AN/NH/PI,31894,AI/AN/NH/PI
Maine,16722,TOTAL_POP,1338404,TOTAL_POP
Maine,16722,NH.WHITE,1246689,NH WHITE
Maine,16722,HISPANIC.WHITE,18959,NA
Maine,16722,NH.BLACK,20708,BLACK
Maine,16722,HISPANIC.BLACK,1169,NA
Maine,16722,NH.AI/AN,8870,AI/AN
Maine,16722,HISPANIC.AI/AN,787,NA
Maine,16722,NH.ASIAN,16343,ASIAN
Maine,16722,HISPANIC.ASIAN,331,NA
Maine,16722,NH.NH/PI,379,NH/PI
Maine,16722,HISPANIC.NH/PI,76,NA
Maine,16722,NH.MULTI,22565,MULTI
Maine,16722,HISPANIC.MULTI,1528,NA
Maine,16722,ETH_NH,1315554,NH
Maine,16722,ETH_HISPANIC,22850,HISPANIC
Maine,16722,MALE,655373,MALE
Maine,16722,FEMALE,683031,FEMALE
Maine,16722,AI/AN/NH/PI,9249,AI/AN/NH/PI
Maryland,401070,TOTAL_POP,6042718,TOTAL_POP
Maryland,401070,NH.WHITE,3050812,NH WHITE
Maryland,401070,HISPANIC.WHITE,501543,NA
Maryland,401070,NH.BLACK,1801327,BLACK
Maryland,401070,HISPANIC.BLACK,66265,NA
Maryland,401070,NH.AI/AN,14681,AI/AN
Maryland,401070,HISPANIC.AI/AN,21507,NA
Maryland,401070,NH.ASIAN,397998,ASIAN
Maryland,401070,HISPANIC.ASIAN,7684,NA
Maryland,401070,NH.NH/PI,3072,NH/PI
Maryland,401070,HISPANIC.NH/PI,3674,NA
Maryland,401070,NH.MULTI,146395,MULTI
Maryland,401070,HISPANIC.MULTI,27760,NA
Maryland,401070,ETH_NH,5414285,NH
Maryland,401070,ETH_HISPANIC,628433,HISPANIC
Maryland,401070,MALE,2928921,MALE
Maryland,401070,FEMALE,3113797,FEMALE
Maryland,401070,AI/AN/NH/PI,17753,AI/AN/NH/PI
Massachusetts,488025,TOTAL_POP,6902149,TOTAL_POP
Massachusetts,488025,NH.WHITE,4928183,NH WHITE
Massachusetts,488025,HISPANIC.WHITE,649011,NA
Massachusetts,488025,NH.BLACK,500276,BLACK
Massachusetts,488025,HISPANIC.BLACK,116821,NA
Massachusetts,488025,NH.AI/AN,12281,AI/AN
Massachusetts,488025,HISPANIC.AI/AN,21831,NA
Massachusetts,488025,NH.ASIAN,485158,ASIAN
