"X","NAME","TOTAL_POP","NH.WHITE","HISPANIC.WHITE","NH.BLACK","HISPANIC.BLACK","NH.AI.AN","HISPANIC.AI.AN","NH.ASIAN","HISPANIC.ASIAN","NH.NH.PI","HISPANIC.NH.PI","NH.MULTI","HISPANIC.MULTI","MALE","FEMALE","AGE_0","AGE_1","AGE_2","AGE_3","AGE_4","AGE_5","AGE_6","AGE_7","AGE_8","AGE_9","AGE_10","AGE_11","AGE_12","AGE_13","AGE_14","AGE_15","AGE_16","AGE_17","AGE_18","AGE_19","AGE_20","AGE_21","AGE_22","AGE_23","AGE_24","AGE_25","AGE_26","AGE_27","AGE_28","AGE_29","AGE_30","AGE_31","AGE_32","AGE_33","AGE_34","AGE_35","AGE_36","AGE_37","AGE_38","AGE_39","AGE_40","AGE_41","AGE_42","AGE_43","AGE_44","AGE_45","AGE_46","AGE_47","AGE_48","AGE_49","AGE_50","AGE_51","AGE_52","AGE_53","AGE_54","AGE_55","AGE_56","AGE_57","AGE_58","AGE_59","AGE_60","AGE_61","AGE_62","AGE_63","AGE_64","AGE_65","AGE_66","AGE_67","AGE_68","AGE_69","AGE_70","AGE_71","AGE_72","AGE_73","AGE_74","AGE_75","AGE_76","AGE_77","AGE_78","AGE_79","AGE_80","AGE_81","AGE_82","AGE_83","AGE_84","AGE_85"
11,"Georgia",10511131,5514946,846843,3309278,95673,23916,30832,439995,9490,6520,5760,194106,33772,5111831,5399300,127795,130201,132458,134398,133779,133405,136358,137774,138692,139533,145755,146757,146082,144595,144786,143407,143639,147463,148131,144070,141692,140525,140406,144357,147457,151245,154378,156448,155367,148739,143557,140912,140199,142071,137736,140405,141267,140821,145160,136784,134144,133671,130172,135632,132946,137233,142902,149519,149464,139030,134707,134747,137310,142941,143317,140266,138032,137432,136368,130166,126847,125814,120121,117980,112228,107064,102283,99321,97434,94467,93852,95951,70139,68647,65459,65510,55338,50106,46556,42132,38379,34144,31610,29419,24958,146769
12,"Hawaii",1420593,310830,54740,27955,3174,3033,2564,517118,16370,133926,10256,276840,63787,711291,709302,17086,17493,17568,17462,17803,17989,17662,17617,16786,16472,16902,16431,16184,16045,16291,15951,15381,15619,15123,15094,16482,17431,18157,18906,19773,20252,20812,21713,21221,20008,19903,19981,19662,19783,19618,19828,19612,19321,19463,18209,17544,17077,16511,16615,16128,16200,16759,17391,18365,17027,16629,16370,16656,17784,17741,18046,18059,17981,18983,18074,18181,18205,17999,18074,17580,17446,16762,16082,16538,15677,15519,15147,12141,12094,11526,10291,9135,8300,7747,6892,6600,5977,5613,5475,4939,41619
13,"Idaho",1750536,1432312,197740,13117,2665,19375,11142,25144,1817,3095,711,35287,8131,877331,873205,21934,22621,23508,24127,23630,24120,23870,24591,24887,25229,26143,26282,25992,26002,25983,25334,25033,25553,24409,22971,21751,22280,23491,23223,23998,23989,24090,24256,24018,22921,22197,22028,22343,22930,22714,23085,23223,23218,23557,22426,21931,21451,20595,20916,19863,19412,20185,21049,21007,20127,19072,19257,19224,19942,20652,21265,21704,22108,22103,21363,21685,21884,21136,20937,20547,20392,19623,18702,18091,17602,17409,17901,12958,12734,12421,12572,10622,9587,8952,8173,7329,6610,5952,5581,4721,29232
14,"Illinois",12723071,7775324,2011617,1790416,68226,19248,55455,722207,15938,3681,4622,207581,48756,6251344,6471727,146417,150177,153880,155512,152992,152757,154402,156332,157483,156971,161953,163342,163367,164115,166416,165167,164850,168917,166903,161590,163608,164711,167600,172640,175858,178185,181913,183238,182178,175383,173581,171424,173171,175778,170211,171850,172102,170127,175136,163766,160509,159138,153913,157802,152594,153918,161424,169536,170833,161383,158301,158645,161175,170513,172243,172413,172080,175181,176682,170514,168813,165381,158457,156815,147732,140854,134392,129903,124922,119041,116585,119754,87935,84889,82947,85559,74955,66889,62167,58333,55415,50230,47328,44137,38223,266615
15,"Indiana",6695497,5277232,419004,637238,23338,15436,12231,162118,3431,2519,1905,125302,15743,3301286,3394211,81396,82365,84641,85849,85576,85843,85784,85902,86505,86745,89524,90124,89711,89260,90218,89514,89183,92482,89723,96312,97233,96126,95151,92840,91585,91954,95388,93820,90960,87329,84885,82940,83918,85016,82472,84653,85156,85332,87810,82952,81089,80020,77438,80259,77377,79159,82803,88155,87075,81738,79723,80894,82120,87693,90112,89226,89607,91629,91567,88731,88970,87374,83906,82623,79328,75805,72871,69393,67007,65148,62679,65217,46266,45782,44411,45756,39598,35824,32882,31053,29296,26181,24425,22723,19584,130803
16,"Iowa",3148618,2686510,172557,119465,5568,9553,7234,81609,1498,3676,679,53591,6678,1566963,1581655,37914,38971,39937,40486,40339,39979,39665,39309,40775,41035,42042,42208,41906,41192,41027,40853,40501,41186,42810,47014,47104,46714,46201,43666,42623,41670,42486,41054,40376,38464,37230,37044,38849,40476,39390,40286,40953,40255,41372,38912,37407,36374,34529,35851,33499,33514,35557,37756,38466,36722,35569,36349,36894,39322,40745,41490,42448,43603,44003,42339,42256,41789,40458,40416,38628,37188,36332,34694,32943,31375,30310,31458,22496,21959,21569,22004,19246,17988,16946,16112,15380,14099,13567,12599,11087,79008
17,"Kansas",2911359,2203290,312884,167270,11269,22923,11615,89093,2318,2726,865,74679,12427,1450771,1460588,35757,37302,38266,38429,38866,39104,39191,39674,40102,39624,40498,40480,40041,39706,39713,39845,39069,39829,39906,41997,43695,42885,42993,43188,40895,40467,40799,39001,38168,37167,36708,36614,37821,39009,38185,38551,38819,38401,38575,35853,34569,34394,32651,33230,31464,31450,32731,34505,35051,33100,31619,31960,33028,35376,36864,37695,38057,38970,38871,37949,37566,37642,36128,35787,34352,32789,31328,30093,28629,27210,26563,27647,19631,19433,19042,19145,16396,15101,14079,13297,12837,11555,11010,10423,9363,65586
18,"Kentucky",4461153,3763798,146582,364701,10374,9365,3965,68664,1710,2949,1140,81333,6572,2197550,2263603,54093,54587,55290,55684,55781,55627,55198,54983,54920,55590,56894,57581,56839,56832,57040,56538,55998,57728,58103,57818,58774,59001,59891,61301,61309,61135,62784,64360,62744,58731,55916,54658,54191,55223,54214,55835,55915,56900,58420,55515,54883,54567,52514,54006,52524,53570,57084,59689,58921,56123,55349,55632,56594,61068,62433,61638,61546,61857,62129,60381,60498,59486,57221,57208,54902,52035,50571,48714,47200,46340,45055,46967,33166,32674,31806,31932,27497,25226,23554,21964,20543,17709,16551,15284,13486,81115
19,"Louisiana",4659690,2730586,199942,1502395,23462,30118,6286,81279,2529,1793,1056,70721,9523,2274242,2385448,59367,61398,62248,62048,62031,60471,60188,60424,60056,60723,62831,62998,61142,60596,59997,59543,59549,61144,59708,56390,58283,60081,61256,63761,65205,66065,68162,71239,70229,67601,64716,64110,64989,65766,63805,64317,64046,63286,63215,58674,56688,55883,52925,53015,51292,52021,54556,56909,57089,54953,54531,54992,56307,60391,61680,61484,61924,62705,64031,62083,60577,60536,58904,58473,55616,52490,50035,48774,47018,44748,43702,45227,32684,32460,30901,30877,26807,24601,23096,21096,19985,17697,16590,15403,13210,81066
20,"Maine",1339057,1247056,19039,20851,1095,8861,774,16699,317,382,77,22377,1529,655683,683374,12208,12486,12895,13135,13194,13262,13294,13293,13862,13877,14307,14627,14676,14872,14810,14833,15000,15672,16405,16199,15538,15076,14851,14780,15232,15652,16089,16245,16406,16277,16071,15907,16219,16148,15333,15569,15804,15566,16022,15200,15069,14718,14400,15072,14979,15405,16711,17892,18089,17526,17578,18099,18530,19623,20551,21032,21294,21686,21543,21530,21740,21470,20777,20533,20281,19687,18966,18124,17617,17315,17305,17844,12320,12060,11972,12132,10278,9013,8327,7865,7328,6714,6318,5953,5227,33672
21,"Maryland",6035802,3050032,499817,1800982,66382,14748,21514,393904,7627,3040,3639,146718,27399,2924599,3111203,71222,72223,73570,74146,73017,73137,74011,75100,74744,73630,76415,76286,75228,75050,75262,74590,74765,77042,79902,74671,74255,73817,73263,75970,78204,80875,81508,84303,86200,83549,83420,83116,83011,83691,81722,82245,82260,82021,83025,77212,75037,74193,71997,73967,70853,72808,77458,82486,84000,80562,80361,81039,83137,87747,89129,87905,86726,87020,86815,83689,81552,79596,75522,73940,69604,67160,62984,61324,58733,57036,56393,58032,42457,41608,39720,40643,35182,31271,28880,26730,25149,22329,20770,19404,17006,118170
22,"Massachusetts",6882635,4925096,644785,499155,114151,12391,21350,478443,7192,2902,4341,126367,46462,3339710,3542925,71091,71408,72119,72560,72783,73335,73692,74985,74074,73799,76270,76885,77281,77996,80174,80996,81209,84128,99530,107337,103065,99025,95996,94216,97550,99950,100534,100688,102537,100839,100087,98587,96928,95801,91244,91065,89611,86895,87777,83695,81834,79902,78575,80877,78923,81038,85631,91205,93988,90818,90896,92126,94567,99231,100329,99504,98450,99143,98861,95824,95056,92513,88587,87300,82890,79532,75517,72867,70307,68544,67525,70256,50645,49478,47864,48854,41506,36787,33873,31847,30363,27997,26376,24986,22126,159575
23,"Michigan",9984072,7481865,438832,1375864,32398,56844,16343,327039,3982,2736,1353,221247,25569,4916210,5067862,109864,113325,115101,116444,116932,116079,116467,117133,118297,117846,121065,123050,123463,124528,126721,126414,127377,132076,135975,130593,134845,137800,139048,141507,140141,138979,140465,144332,140633,128608,123512,118898,120356,121415,117066,119281,120323,119963,122504,116695,114766,112900,109881,113362,111914,115054,122850,132124,133209,126672,125471,127272,129738,136598,141194,141643,142313,144537,144936,142617,144079,142620,136647,134234,128964,123267,119182,114560,109040,105495,102724,106445,75929,73956,72925,75981,65517,57685,52940,49279,46162,41476,39359,36760,31553,213121
24,"Minnesota",5606249,4456172,257823,369929,12683,59935,17048,282603,3906,2850,1239,126504,15557,2792427,2813822,67799,70351,71468,72283,72823,72193,71866,71671,72639,72248,74307,74633,73734,73661,74282,72605,71201,72673,71123,70251,70445,71070,71658,72005,73685,74976,76782,74154,75479,74513,74623,75882,77238,79231,76956,77971,78453,77507,77394,71970,69184,66678,63876,65087,61578,61697,64710,70203,71606,68542,66926,67156,69475,74150,76648,78078,78594,80269,80595,77423,76501,74699,71264,69922,67091,64345,62066,58853,56121,52985,51076,52515,37785,37598,36451,37406,32287,29459,27654,25897,24221,22393,21020,19461,17223,121678
25,"Mississippi",2981020,1684256,78189,1115908,10941,14868,3622,31549,800,1040,753,35120,3974,1445523,1535497,36382,37179,37324,37687,37643,37343,38279,38246,38778,40219,41853,42946,41304,40519,40282,39949,39595,41135,41521,40705,40184,40099,40614,41764,41554,41762,42733,42732,42196,40156,37294,36557,36756,37770,36517,37811,38176,38596,39108,36468,35747,35732,34614,35015,34288,35088,36889,38420,38159,35918,35542,35072,35993,38656,39297,39305,39618,40038,40464,39174,38578,38760,37236,37183,35428,33290,32288,31630,30778,29416,28821,30209,21729,21342,20657,20718,17821,16520,15583,14368,13646,12041,11205,10441,8546,52021
26,"Missouri",6121623,4857213,223477,710233,13576,26711,8455,126755,2551,7879,1550,130449,12774,3004921,3116702,72024,73888,74975,75697,75949,75105,75067,75841,75846,76282,78692,78965,78564,77978,77886,77577,77105,79243,77759,79265,80411,81061,81601,82017,82965,84123,87404,87314,85146,81538,78840,78749,80466,80875,78147,80463,79662,79053,80284,74443,72839,71267,68153,70318,67501,68864,72840,77815,77470,72945,71318,72611,74013,80207,83460,84696,86044,87366,87497,84294,83489,83285,79421,77832,74970,71240,68692,66455,64001,61845,60528,63375,45593,45300,44646,45655,39414,36030,33261,31042,28910,26081,24608,23084,20524,132554
27,"Montana",1060665,912054,31695,5633,627,64770,6106,9136,406,744,155,26046,3293,533852,526813,11592,12226,12635,12865,12753,12616,12658,12669,12747,12792,13197,13328,13075,12820,12728,12511,12649,12888,12369,13372,13705,14295,14857,14942,14603,14637,14761,14302,14100,13430,13114,12995,13124,13431,13402,13712,13791,13435,13681,12793,12632,12231,11609,11551,11083,11104,11396,12349,12284,11752,11420,11470,11821,12978,13576,14098,14594,15171,15441,15262,15572,15636,15295,15256,15110,14788,14330,13788,13175,12546,12109,12476,8970,8692,8568,8617,7253,6806,6120,5663,5180,4803,4372,3933,3504,22681
