"NAME","TOTAL_POP","NH.WHITE","HISPANIC.WHITE","NH.BLACK","HISPANIC.BLACK","NH.AI/AN","HISPANIC.AI/AN","NH.ASIAN","HISPANIC.ASIAN","NH.NH/PI","HISPANIC.NH/PI","NH.MULTI","HISPANIC.MULTI","ETH_NH","ETH_HISPANIC","MALE","FEMALE","AGE_0","AGE_1","AGE_2","AGE_3","AGE_4","AGE_5","AGE_6","AGE_7","AGE_8","AGE_9","AGE_10","AGE_11","AGE_12","AGE_13","AGE_14","AGE_15","AGE_16","AGE_17","AGE_18","AGE_19","AGE_20","AGE_21","AGE_22","AGE_23","AGE_24","AGE_25","AGE_26","AGE_27","AGE_28","AGE_29","AGE_30","AGE_31","AGE_32","AGE_33","AGE_34","AGE_35","AGE_36","AGE_37","AGE_38","AGE_39","AGE_40","AGE_41","AGE_42","AGE_43","AGE_44","AGE_45","AGE_46","AGE_47","AGE_48","AGE_49","AGE_50","AGE_51","AGE_52","AGE_53","AGE_54","AGE_55","AGE_56","AGE_57","AGE_58","AGE_59","AGE_60","AGE_61","AGE_62","AGE_63","AGE_64","AGE_65","AGE_66","AGE_67","AGE_68","AGE_69","AGE_70","AGE_71","AGE_72","AGE_73","AGE_74","AGE_75","AGE_76","AGE_77","AGE_78","AGE_79","AGE_80","AGE_81","AGE_82","AGE_83","AGE_84","AGE_85"
"Georgia",10519475,5511319,849209,3313815,97330,24102,30780,443813,9675,6446,5986,193243,33757,9492738,1026737,5115416,5404059,126952,129588,132570,134469,133835,133485,136430,137827,138662,139500,145668,146769,146038,144569,144714,143398,143670,147607,148676,145019,142342,140989,140714,144723,147884,151681,154891,156809,155506,148858,143683,141169,140521,142289,137839,140403,141413,141109,145328,136975,134336,133927,130391,135761,132959,137175,142926,149567,149582,139169,134781,134798,137264,142905,143271,140264,138103,137452,136339,130189,126936,125884,120188,117971,112356,107197,102310,99429,97488,94552,93829,96027,70265,68781,65541,65574,55438,50152,46449,42127,38400,34216,31601,29416,24984,146633
"Hawaii",1420491,309043,54506,27934,3204,3037,2592,517717,16934,134208,10598,277195,63523,1269134,151357,711002,709489,17224,17474,17619,17491,17896,18111,17773,17703,16808,16474,16915,16456,16217,16081,16285,15950,15353,15584,15126,15166,16502,17486,18227,18925,19811,20216,20793,21686,21238,20044,19942,19973,19632,19771,19711,19962,19757,19400,19460,18217,17544,17089,16479,16539,16063,16157,16697,17314,18313,17024,16585,16384,16640,17770,17740,17998,18012,17872,18913,18012,18151,18158,17975,18060,17576,17475,16767,16084,16516,15650,15503,15115,12162,12121,11540,10306,9144,8319,7732,6894,6606,5960,5625,5474,4930,41044
"Idaho",1754208,1433895,198293,13050,2725,19385,11064,26026,1793,3153,730,35791,8303,1531300,222908,879077,875131,22348,22656,23563,24141,23631,24138,23900,24640,24965,25322,26288,26432,26103,26122,26091,25495,25258,25879,24700,23174,21807,22288,23507,23307,23985,23988,24045,24233,23995,22915,22233,22085,22337,22913,22638,23063,23206,23235,23491,22388,21880,21447,20589,20895,19835,19408,20175,21027,20969,20093,19077,19282,19261,19988,20645,21281,21724,22128,22095,21380,21702,21903,21151,20937,20549,20394,19648,18737,18099,17667,17455,17960,12988,12787,12506,12643,10678,9638,8983,8226,7375,6636,6040,5642,4761,29419
"Illinois",12741080,7773275,2018565,1791197,68993,19233,56334,732320,16402,3625,4820,207288,49028,10526938,2214142,6260901,6480179,147623,149997,154179,155702,153118,152837,154486,156400,157443,156936,161916,163391,163371,164091,166379,165212,164992,169193,167074,161734,163848,165089,168312,173542,176711,178851,182529,183820,182722,175858,174141,171845,173505,176046,170464,172051,172433,170485,175475,164077,160821,159404,154143,158082,152754,154086,161591,169707,170988,161521,158553,158925,161411,170671,172397,172587,172243,175361,176767,170640,168957,165439,158564,156872,147757,141001,134523,130017,124930,119103,116629,119838,88194,85027,82991,85719,75021,66959,62277,58445,55530,50201,47423,44204,38255,266674
"Indiana",6691878,5276640,417828,635087,23642,15474,12266,161831,3537,2513,2029,125096,15935,6216641,475237,3300302,3391576,80539,82185,84577,85801,85442,85734,85646,85744,86387,86595,89432,90041,89639,89235,90243,89494,89094,92302,89322,95441,96648,95660,94862,92597,91447,91732,95318,93773,90900,87136,84746,82785,83817,84836,82395,84611,85096,85350,87843,83018,81136,80045,77489,80214,77400,79229,82854,88180,87063,81760,79750,80928,82143,87812,90105,89225,89618,91689,91638,88752,89019,87471,83901,82626,79347,75847,72981,69450,67027,65220,62753,65350,46379,46060,44514,45962,39777,36012,33057,31105,29415,26228,24555,22819,19700,130810
"Iowa",3156145,2691471,172655,119189,5630,9533,7148,84180,1528,3518,714,53822,6757,2961713,194432,1570807,1585338,38291,39118,39958,40477,40374,40035,39766,39375,40848,41091,42109,42237,41927,41228,41063,40974,40575,41321,43274,47978,47752,47177,46470,43752,42627,41723,42550,41091,40409,38513,37301,37146,38967,40549,39466,40411,41097,40367,41365,38864,37423,36417,34607,35873,33511,33520,35586,37823,38545,36793,35654,36408,36940,39342,40720,41467,42426,43593,44060,42361,42256,41809,40472,40448,38645,37177,36334,34725,32988,31469,30330,31496,22596,22072,21686,22100,19281,18071,17054,16181,15456,14197,13650,12696,11180,79091
"Kansas",2911505,2202954,312397,167341,11277,23119,11698,88851,2378,2715,904,75345,12526,2560325,351180,1450406,1461099,36439,37293,38293,38443,38867,39065,39159,39658,40093,39646,40540,40500,40056,39691,39659,39787,38993,39779,39837,41878,43602,42766,42821,43071,40760,40380,40676,38883,38032,37064,36689,36559,37751,38831,38019,38378,38749,38333,38618,35894,34560,34422,32665,33241,31462,31498,32771,34541,35043,33136,31647,31999,33034,35369,36899,37690,38096,39030,38900,37973,37599,37698,36203,35832,34404,32812,31343,30113,28712,27282,26603,27707,19678,19517,19090,19216,16442,15202,14178,13373,12891,11631,11059,10459,9397,65536
"Kentucky",4468402,3766333,147603,365332,10640,9421,3991,71014,1792,2848,1210,81521,6697,4296469,171933,2201511,2266891,53557,54670,55437,55824,55924,55751,55294,55040,54976,55665,56971,57660,56987,56986,57184,56699,56239,57965,58281,57921,58954,59245,60244,61585,61502,61328,62907,64400,62860,58831,55982,54684,54326,55410,54379,55994,56012,56994,58463,55582,54951,54648,52624,54086,52595,53606,57140,59733,58982,56171,55381,55652,56637,61085,62427,61670,61561,61957,62234,60459,60597,59528,57239,57175,54925,52025,50699,48753,47202,46380,45112,47034,33275,32828,31897,32017,27606,25435,23696,22145,20690,17790,16615,15296,13513,80618
"Louisiana",4659978,2729264,201168,1503104,22986,30109,6391,81667,2604,1785,1104,70238,9558,4416167,243811,2274759,2385219,59755,61043,62174,62025,62022,60482,60154,60325,59959,60647,62799,62967,61101,60551,59940,59483,59474,61015,59616,56425,58353,60238,61430,63936,65351,66169,68317,71394,70320,67619,64709,64101,64974,65741,63838,64368,64123,63276,63225,58695,56740,55951,52932,53014,51202,51948,54532,56898,57078,54990,54533,55036,56276,60366,61649,61478,61937,62788,64071,62059,60621,60513,58844,58411,55544,52419,50014,48745,46999,44708,43652,45209,32688,32535,30977,30861,26829,24667,23130,21147,19974,17671,16575,15357,13226,81050
"Maine",1338404,1246689,18959,20708,1169,8870,787,16343,331,379,76,22565,1528,1315554,22850,655373,683031,12409,12629,12930,13126,13188,13253,13288,13301,13870,13884,14317,14599,14662,14862,14795,14814,14908,15569,16197,15903,15347,14942,14786,14770,15179,15604,16068,16244,16422,16303,16093,15937,16216,16118,15335,15567,15814,15583,16024,15175,15083,14700,14398,15052,14987,15440,16737,17920,18090,17523,17559,18103,18568,19653,20580,21034,21335,21700,21557,21526,21748,21463,20780,20523,20315,19669,18960,18128,17636,17334,17345,17863,12334,12098,12000,12123,10300,8992,8341,7829,7323,6757,6302,5986,5260,33419
"Maryland",6042718,3050812,501543,1801327,66265,14681,21507,397998,7684,3072,3674,146395,27760,5414285,628433,2928921,3113797,70843,72391,73640,74367,73263,73216,73929,74954,74679,73666,76510,76352,75267,75088,75289,74632,74911,77151,80028,74782,74441,74005,73457,76150,78497,81293,82078,84797,86501,83765,83626,83386,83220,83921,82025,82491,82429,82051,83097,77334,75195,74308,72074,73963,70859,72827,77521,82521,83961,80511,80317,81033,83177,87843,89216,87958,86772,87073,86756,83754,81556,79700,75528,73975,69662,67194,63046,61291,58730,57017,56315,58018,42451,41593,39797,40697,35284,31309,28855,26705,25092,22296,20743,19352,16948,118403
"Massachusetts",6902149,4928183,649011,500276,116821,12281,21831,485158,7350,2867,4550,126161,47660,6054926,847223,3350528,3551621,70787,71405,72227,72739,73003,73518,73715,74876,74048,73853,76451,77018,77385,77985,80303,81320,81648,84577,99978,107883,103735,99726,96751,95142,98713,101022,101325,101162,102946,101405,100800,99269,97595,96150,91239,90955,89707,87235,88165,84019,82013,79959,78636,80921,79042,81246,85968,91457,94141,90981,91085,92297,94664,99256,100436,99628,98559,99250,99060,95977,95170,92569,88680,87317,82957,79737,75670,72958,70334,68551,67644,70384,50830,49715,48006,49051,41595,36822,33948,31921,30387,28130,26405,25078,22082,159852
"Michigan",9995915,7485441,438486,1375622,32770,57011,16488,333280,4056,2737,1405,222802,25817,9476893,519022,4922143,5073772,110301,113010,115262,116558,117032,116164,116602,117303,118491,118088,121277,123240,123589,124566,126750,126486,127583,132366,136339,130973,135208,138071,139236,141735,140377,139125,140744,144674,141017,128894,123723,119058,120545,121560,117311,119581,120506,120105,122647,116851,114879,112990,109998,113532,112100,115186,122826,132069,133197,126634,125389,127236,129809,136539,141175,141657,142367,144574,145019,142661,144061,142577,136634,134260,128994,123383,119291,114658,109059,105565,102705,106549,76089,74156,73247,76138,65668,57811,53063,49422,46233,41498,39474,36937,31672,213986
"Minnesota",5611179,4459268,258908,367582,12832,59933,16683,284976,3999,2858,1287,127279,15574,5301896,309283,2794801,2816378,68566,70145,71486,72308,72786,72189,71826,71594,72574,72251,74332,74642,73784,73630,74264,72538,71082,72618,71144,70427,70648,71309,71938,72263,73907,75134,76924,74274,75597,74605,74655,75943,77324,79327,77142,78185,78589,77531,77394,71991,69227,66706,63919,65135,61588,61694,64756,70247,71616,68609,67020,67234,69504,74136,76675,78055,78573,80298,80586,77410,76563,74728,71267,69884,67081,64282,62099,58949,56125,53027,51191,52520,37830,37631,36526,37454,32384,29551,27723,26042,24295,22468,21132,19544,17345,121684
"Mississippi",2986530,1686128,80173,1118103,10809,14887,3536,31319,833,1053,759,34872,4058,2886362,100168,1447735,1538795,35878,36911,37345,37696,37647,37353,38308,38284,38800,40222,41866,42965,41310,40491,40295,39979,39630,41161,42425,42738,41431,40762,40957,41962,41649,41737,42738,42728,42174,40034,37200,36544,36832,37829,36490,37734,38040,38494,39087,36514,35781,35667,34504,34937,34240,35043,36891,38379,38133,35887,35490,35084,35964,38641,39281,39303,39644,40017,40517,39217,38566,38794,37225,37173,35437,33268,32330,31631,30773,29409,28840,30249,21800,21457,20828,20823,17901,16600,15650,14434,13752,12082,11229,10494,8584,52341
"Missouri",6126452,4858302,224269,710969,13560,26659,8360,128422,2624,7982,1603,130853,12849,5863187,263265,3007563,3118889,72258,73835,75014,75700,75906,75069,75023,75766,75828,76261,78657,78907,78490,77947,77939,77693,77211,79326,77779,79378,80665,81401,81843,82196,83123,84322,87711,87530,85341,81664,78862,78652,80355,80838,78230,80561,79741,79150,80369,74521,72853,71304,68208,70350,67482,68842,72860,77831,77464,72942,71313,72645,74069,80251,83471,84790,86184,87506,87553,84253,83547,83326,79470,77874,75038,71305,68746,66520,64033,61905,60634,63383,45727,45472,44852,45802,39532,36147,33350,31129,28998,26133,24638,23144,20630,131884
"Montana",1062305,912905,32227,5612,625,64710,5893,9408,444,737,156,26430,3158,1019802,42503,534852,527453,12099,12212,12633,12859,12733,12618,12656,12652,12774,12826,13250,13374,13093,12805,12759,12517,12660,12914,12450,13482,13788,14321,14890,14934,14580,14609,14738,14283,14044,13446,13120,13041,13183,13538,13461,13700,13786,13453,13674,12781,12609,12222,11602,11495,11074,11112,11398,12338,12289,11749,11420,11473,11868,13045,13586,14083,14576,15169,15425,15270,15577,15631,15286,15257,15113,14804,14330,13815,13200,12573,12101,12478,8972,8709,8601,8655,7298,6857,6190,5678,5181,4853,4397,3966,3549,22695
"Nebraska",1929268,1515603,187843,92902,5855,16133,12530,50669,1674,1185,1153,36904,6817,1713396,215872,963382,965886,25809,26251,26691,27323,26894,26473,26215,26346,26576,26730,27043,26684,26632,26644,26479,26254,25915,25882,25929,27599,27915,27844,27210,27343,26868,26587,27094,25492,24978,24324,24789,25108,25410,26296,25645,26330,26238,25982,26016,23773,23142,22603,21684,22419,21124,20845,22035,22500,22753,21557,20673,20873,21477,23142,24116,24542,24974,25364,25741,24926,24436,24174,23503,23126,22262,21259,20782,19954,19013,18304,17357,17876,12745,12634,12603,12463,10849,9791,9293,8798,8378,7897,7330,6991,6271,43078
"Nevada",3034392,1476377,777334,276929,28919,26067,24804,250856,13555,19078,4884,103937,31652,2153244,881148,1521555,1512837,35781,36778,37496,38222,37718,38169,37583,38825,38505,38525,40320,40129,39409,38720,38444,38216,37762,38395,35218,31507,32411,33944,36227,38894,40588,42074,45272,47075,47843,45200,44462,43263,43607,44097,42479,43017,42905,42233,42867,39816,39364,38703,37696,38796,37756,38403,39413,41769,42299,39741,38351,37523,37825,40114,39901,39249,39044,39102,39506,37380,37358,37054,36320,36650,34898,33636,32525,31794,31732,30740,30896,32258,23970,23273,22428,22449,19031,16830,15778,14124,12949,11307,10130,9240,7729,43362
"New Hampshire",1356458,1220322,43895,19146,4147,2903,1187,39954,506,383,254,21087,2674,1303795,52663,672266,684192,12217,12604,12946,13196,13057,13771,13423,14148,13935,14083,14570,15009,15198,15484,15853,16139,16217,16320,17730,18725,18951,18766,18016,16869,17080,17137,17481,17222,17108,16896,16754,16644,17040,16862,15931,16334,16104,15992,16162,15255,15127,14641,14564,15335,15160,15772,17330,18952,19103,18711,18603,19227,19676,21142,21726,22009,21973,22502,22345,22092,21637,21299,20028,19724,18906,17996,17280,16380,15726,15497,15556,16190,11087,10737,10484,10706,9095,7830,7276,6608,6145,5658,5401,5024,4481,30488
"New Jersey",8908520,4892895,1523452,1150141,187613,12720,41986,873183,16068,3125,6859,137097,63381,7069161,1839359,4352194,4556326,100364,102829,104990,105141,105304,105277,106086,108278,107226,106695,110080,111150,111301,112321,113762,113674,113205,115960,112489,102487,105218,108757,110341,112124,114590,117068,116750,117035,117624,114576,113649,113547,115491,116355,113744,116139,116512,115476,119568,113792,112466,111556,109982,113800,110009,111165,116715,124100,127761,122599,121587,122454,125503,131640,132350,131338,129484,130344,129953,125654,123269,119912,114207,111314,103856,98520,93084,89905,87063,83344,82888,86961,65411,62802,60120,63559,54509,47849,45473,42245,40230,36866,34595,32149,28661,202293
"New Mexico",2095428,777525,941376,38590,14986,184643,43850,32311,4945,1384,2020,31742,22056,1066195,1029233,1037285,1058143,23668,23873,25038,25619,26048,26333,26313,27168,27337,27671,28255,28288,27897,27973,27528,27520,27465,28159,28064,27844,27827,27942,27925,28950,28903,29222,29941,29772,29089,27663,27663,27436,27674,28017,27358,27765,27413,26599,26957,24860,24185,23757,23226,23513,22509,22756,23564,24490,24700,23773,22939,23292,23485,25496,26370,26872,27977,28325,28726,27364,27446,27661,26994,26806,25976,25434,24945,24043,24037,23214,22776,22981,17264,17103,16087,15925,13818,12598,11674,10881,10111,9077,8500,7872,6678,41171
"New York",19542209,10830524,2789407,2833908,613821,56891,133523,1710183,39830,8904,17841,347669,159708,15788079,3754130,9488430,10053779,227883,227305,229416,230190,225648,226596,225831,228353,221931,216615,222095,222699,221720,224257,227099,227918,228289,234257,251285,246543,251472,252301,252843,266222,279500,288160,292156,302966,307546,294749,290525,283382,279087,277817,262405,261971,258828,251773,258433,242058,236146,233452,227226,236383,225594,227477,237682,254894,266379,253582,250590,252361,259778,275533,276853,273896,269086,271655,278185,265871,261797,256358,245974,243497,228302,217753,208312,202302,198997,189699,186040,190100,143110,139860,132947,136313,118981,107148,102373,94756,90611,82666,77531,73087,64629,456319
"North Carolina",10383620,6525505,808906,2219512,87285,116180,46898,317710,11574,6808,6181,200556,36505,9386271,997349,5050861,5332759,118550,120958,123154,123840,123626,122799,124134,124732,127464,128965,133122,134086,133099,131827,132074,131301,131208,135706,142236,143727,141547,137531,137580,139383,141830,143271,146387,149308,147343,142253,137012,133724,132959,132848,128043,132253,131811,131250,134900,128390,128583,128551,124244,129189,126734,130887,137732,146333,145577,136765,132780,132571,133165,139747,142283,140933,139444,140003,139887,135703,134740,132675,128900,127098,123600,118843,115329,111378,108478,105995,105834,110278,80531,78552,75240,75961,64686,58040,53239,48745,45731,40921,38885,36158,30692,185749
"North Dakota",760077,638189,23360,24620,1000,38871,3091,13079,347,465,108,15324,1623,730548,29529,389350,370727,10802,11125,10999,11069,10700,10417,10188,9858,9907,9836,9823,9806,9569,9391,9059,8857,8650,8642,9349,11784,12087,12333,13270,13142,12747,12509,12291,12475,12286,11592,10891,10651,10793,10958,10354,10547,10386,10019,9863,9080,8805,8317,7781,8013,7591,7567,7662,7970,8146,7867,7680,7694,7926,8543,8950,9354,9510,9724,10107,9780,9698,9556,9334,9157,8603,8359,8000,7386,6930,6602,6314,6406,4839,4769,4617,4520,3952,3648,3449,3393,3260,3116,2954,2809,2518,18796
"Ohio",11689442,9195982,375540,1474401,43598,22767,10799,283111,4111,4615,2379,247689,24450,11228565,460877,5730718,5958724,134002,136712,140350,141734,141991,142117,140929,140701,141599,142802,146222,147906,147722,147079,148858,148620,149443,154538,154337,154959,151782,149061,150439,152616,155004,158599,163102,163542,163464,158179,151636,147923,147902,148823,142110,144516,145452,145702,148464,140071,136305,134260,130132,135225,131065,134179,143514,154218,154232,146383,142977,145006,147414,156471,160483,160464,162139,166385,167073,165341,167112,164497,156574,154975,146988,140691,135963,130458,125744,122151,119567,125303,86545,82924,81029,85664,75224,67614,62606,58711,56362,51077,47420,44972,38660,256337
"Oklahoma",3943079,2576177,348188,292842,14048,328310,38733,89289,2890,6096,1472,221287,23747,3514001,429078,1953046,1990033,50353,51369,52629,52814,53264,53672,53247,53640,53527,53711,54684,54878,53712,53448,53388,52685,52571,52894,52451,53539,54698,54024,54246,55272,55450,55092,57196,57952,56677,53932,52322,51425,52456,53550,52616,53816,53515,52108,53152,48819,47045,46590,44976,46341,44026,44497,46311,48050,48339,45121,43566,43161,44173,47716,49376,50554,50774,51586,52227,49885,49529,49091,47431,47102,45265,43088,40962,39703,38613,37061,36514,38349,28184,28397,27775,27232,23864,21861,20742,19236,17885,15819,14764,14047,12261,73196
"Oregon",4190713,3155276,480650,82107,10851,46704,29319,196426,5968,16854,2145,136950,27463,3634317,556396,2077494,2113219,45259,45898,47148,47737,48172,47787,47965,48768,49212,48843,50710,50366,49649,48999,49490,49061,48561,49942,50416,48855,49963,51595,53361,54903,55951,57210,59787,62956,62757,60034,58601,58208,58934,59764,58234,59546,59771,58809,60130,56092,55295,54134,52404,52990,50596,50121,51606,55046,55385,52150,48994,48534,48609,50696,51533,52605,53485,54542,55484,53913,54673,55426,54371,55027,54959,54174,52226,50472,49144,47252,46117,48236,34279,33782,32510,32447,27368,24472,22757,20782,18946,17149,15652,14353,12548,84025
"Pennsylvania",12807060,9741631,734454,1388544,142913,18556,31007,463785,10286,4086,5970,214315,51513,11830917,976143,6274660,6532400,135446,138131,141576,143556,144288,144015,144445,145349,145946,145859,150169,150806,150355,151090,152813,153378,153162,158527,170254,174979,167211,163141,159899,159843,164955,167718,172266,175315,179588,175861,171964,168443,167137,164411,158403,159345,159000,156566,158406,149449,146685,144400,139564,143788,141342,145093,154956,166532,168404,162608,161778,164969,168303,178527,181611,180562,181637,186547,187604,185445,187015,184159,175979,173908,166949,160483,153686,146680,140443,136606,135798,143322,100270,97087,96375,101615,86937,78121,72269,68396,65765,60033,56752,53704,47045,334243
